bus_idx,slack_power,phase_str
32,1.4314139911601187,[1][2]
29,2.146141599026987,[1][2][3]
1,1.4309571634581866,[1][2]
54,1.4309516733367633,[1][2]
78,0.7151961985499443,[3]
81,2.1464333127634374,[1][2][3]
101,0.7155362605344322,[2]
2,0.715784420359039,[3]
105,0.7155660715810799,[2]
109,2.1519542253684247,[1][2][3]
74,2.147739506722001,[1][2][3]
41,1.4312040181754384,[1][2]
132,0.7155712755818754,[2]
65,1.4311528270036586,[1][2]
51,2.1492150959602037,[1][2][3]
53,0.7155796764253095,[1]
106,0.7155880175004616,[2]
119,0.7156137372857623,[3]
27,1.4312023467599257,[1][2]
75,2.1487167351334744,[1][2][3]
42,2.156347281786135,[1][2][3]
33,1.4309634944623582,[1][2]
28,2.1471494936821234,[1][2][3]
50,1.4310703396868691,[1][2]
52,2.146779180954705,[1][2][3]
111,2.148688322349494,[1][2][3]
63,2.1452877233002625,[1][2][3]
121,0.7157745659918279,[3]
115,2.1479413963026888,[1][2][3]
141,0.7155162728299589,[2]
92,2.1379098964405174,[1][2][3]
88,0.7156777527283289,[1]
93,2.1535668435081123,[1][2][3]
26,0.7155047336982948,[3]
10,0.7159427711611757,[1]
120,0.7155459456594622,[3]
77,2.1618800264576787,[1][2][3]
24,2.149486005959489,[1][2][3]
87,0.7154627152763184,[1]
117,0.7151067183174501,[3]
58,2.180058374396992,[1][2][3]
25,1.431182353132656,[1][2]
114,2.151351137677576,[1][2][3]
23,2.1510066768665075,[1][2][3]
149,0.7154780729217448,[1]
49,2.1477912462796285,[1][2][3]
59,2.146114292716426,[1][2][3]
5,0.7149893230084061,[1]
31,2.1483328382954596,[1][2][3]
89,0.7155687187213368,[1]
62,2.15517109803539,[1][2][3]
43,2.156423331986247,[1][2][3]
122,2.1543221075379666,[1][2][3]
90,0.7155877250442937,[1]
39,0.0,
143,0.7154763122264691,[2]
112,2.142204618898298,[1][2][3]
34,2.1627474630716454,[1][2][3]
44,0.7155982591575928,[1]
129,2.1525942133003526,[1][2][3]
150,0.715460246356522,[1]
137,2.1542157974037983,[1][2][3]
94,2.152196842098793,[1][2][3]
55,2.1468901226766586,[1][2][3]
86,0.7156323171861296,[1]
126,2.16600244955863,[1][2][3]
17,2.150184964795136,[1][2][3]
99,0.7156744398442821,[2]
71,2.155591038874438,[1][2][3]
152,3.775486140282777,[1][2][3]
37,0.7156940809640275,[1]
47,2.1512689403530882,[1][2][3]
9,2.1831370892567286,[1][2][3]
73,0.7160654344355551,[1]
82,2.146479890217665,[1][2][3]
12,2.161202526989595,[1][2][3]
79,0.7150132141464817,[1]
20,2.154744068503002,[1][2][3]
146,0.7158608483160078,[1]
6,1.431257152505696,[1][2]
142,0.7154902466003285,[2]
84,2.1463472828832315,[1][2][3]
80,2.1469114755839627,[1][2][3]
104,0.7156335684138946,[2]
124,2.157327131532538,[1][2][3]
125,2.1503451701144436,[1][2][3]
98,0.7158535754392592,[2]
113,2.1549864552663363,[1][2][3]
110,2.1450031181785727,[1][2][3]
70,3.003241881911829,[1][2][3]
14,2.145754215403852,[1][2][3]
127,2.1596894752312084,[1][2][3]
7,1.4311592013825638,[1][2]
96,0.7157312758435427,[2]
57,2.146876114045385,[1][2][3]
123,2.152942993763478,[1][2][3]
8,1.431162059722247,[1][2]
140,0.7154971472853883,[2]
64,2.146407500091421,[1][2][3]
19,2.1475999410063853,[1][2][3]
91,0.71570423587607,[1]
107,0.7155976788181849,[2]
102,0.7156223754353248,[2]
69,2.148007847014357,[1][2][3]
60,1.4312711519125105,[1][2]
97,0.7154818749352079,[2]
4,2.1452494686876715,[1][2][3]
130,0.7155624175950288,[2]
144,0.715479867894989,[2]
22,2.148657695408556,[1][2][3]
11,2.153939821517436,[1][2][3]
35,2.1485923134878755,[1][2][3]
13,1.4310358168997144,[1][2]
136,2.153959540675079,[1][2][3]
134,0.7155116708939864,[2]
133,0.7155177300986147,[2]
148,0.7158224487392605,[1]
131,0.7155862195570764,[2]
15,0.7156403708267143,[1]
61,2.1662762329985603,[1][2][3]
67,1.4312454900348517,[1][2]
108,2.137179304793587,[1][2][3]
118,0.715718317459759,[3]
16,2.1430396184612697,[1][2][3]
100,0.7157506027929389,[2]
40,2.1477499150962363,[1][2][3]
21,1.4312138498230766,[1][2]
38,1.4309522896600775,[1][2]
46,1.4309624990419663,[1][2]
72,0.0,
83,0.7155812225617424,[1]
151,0.7156945210793171,[1]
45,2.146939581913757,[1][2][3]
68,2.1845408174366847,[1][2][3]
56,2.1688166994235853,[1][2][3]
116,0.7157432788667356,[3]
128,2.159790759363075,[1][2][3]
139,2.1480973476337337,[1][2][3]
145,0.7154510791443077,[2]
36,2.148995807919497,[1][2][3]
66,0.7160420852524694,[3]
76,2.143909063200891,[1][2][3]
95,2.147710783919138,[1][2][3]
138,2.1436502602326906,[1][2][3]
85,2.1473055838146187,[1][2][3]
147,0.7154309040909913,[1]
135,0.7155832798031111,[2]
48,2.146483337624361,[1][2][3]
18,1.4314481825844603,[1][2]
103,0.7154681719256266,[2]
30,1.4311797718367187,[1][2]
3,2.150120061302479,[1][2][3]
